src,nodes,in_queue,leaves,explored_pct,best_bound,best_sol,gap_pct,cuts,in_lp,confl,lp_iters,time_s
,0,0,0,0.0,0.0,Inf,Inf,0,0,0,0,0.4
,0,0,0,0.0,40.48090955,Inf,Inf,0,0,4,540,0.4
C,0,0,0,0.0,49.32602392,7066.376699,99.3,741,42,29,1042,0.7
L,0,0,0,0.0,50.93950499,69.98610626,27.21,2322,98,29,1331,2.8
,0,0,0,0.0,50.97136777,69.98610626,27.17,36,0,0,3472,3.0
,0,0,0,0.0,50.97204524,69.98610626,27.17,36,21,4,3682,3.0
L,0,0,0,0.0,56.6672432,69.98207018,19.03,2174,107,4,8993,10.9
,12,0,3,25.39,56.6672432,69.98207018,19.03,2194,29,158,22348,16.4
B,39,2,12,34.57,56.6672432,69.45718925,18.41,2222,29,405,30072,18.0
T,62,9,20,51.2,57.86894049,69.2220468,16.4,2952,80,548,43705,20.7
T,94,7,29,56.74,57.86894049,68.48887983,15.51,2979,80,687,47859,21.8
,144,4,56,90.14,61.26800521,68.48887983,10.54,4173,121,1371,69121,27.0
,149,0,61,100.0,68.48887983,68.48887983,0.0,4769,112,1489,71273,27.8
