Time_Period,Time_Label,MCS_1_SOE_kWh,MCS_1_Max_SOE_kWh,MCS_1_Min_SOE_kWh
1,08:00,250.0,250.0,50.0
2,08:15,250.0,250.0,50.0
3,08:30,250.0,250.0,50.0
4,08:45,250.0,250.0,50.0
5,09:00,250.0,250.0,50.0
6,09:15,250.0,250.0,50.0
7,09:30,250.0,250.0,50.0
8,09:45,250.0,250.0,50.0
9,10:00,250.0,250.0,50.0
10,10:15,250.0,250.0,50.0
11,10:30,250.0,250.0,50.0
12,10:45,250.0,250.0,50.0
13,11:00,250.0,250.0,50.0
14,11:15,250.0,250.0,50.0
15,11:30,247.78127423822718,250.0,50.0
16,11:45,245.67601108033244,250.0,50.0
17,12:00,243.0998337950139,250.0,50.0
18,12:15,238.8893074792244,250.0,50.0
19,12:30,234.67878116343493,250.0,50.0
20,12:45,230.46825484764545,250.0,50.0
21,13:00,226.25772853185597,250.0,50.0
22,13:15,226.25772853185597,250.0,50.0
23,13:30,233.67960353185597,250.0,50.0
24,13:45,241.10147853185597,250.0,50.0
25,14:00,248.52335353185597,250.0,50.0
26,14:15,248.52335353185597,250.0,50.0
27,14:30,248.52335353185597,250.0,50.0
28,14:45,248.52335353183847,250.0,50.0
29,15:00,248.52335353183847,250.0,50.0
30,15:15,248.52335353183847,250.0,50.0
31,15:30,247.20191308862513,250.0,50.0
32,15:45,247.20191308862513,250.0,50.0
33,16:00,250.0000000181934,250.0,50.0
34,16:15,250.0000000181934,250.0,50.0
35,16:30,250.0000000181934,250.0,50.0
36,16:45,250.0000000181934,250.0,50.0
37,17:00,250.0000000181934,250.0,50.0
38,17:15,250.0000000181934,250.0,50.0
39,17:30,250.0000000181934,250.0,50.0
40,17:45,250.0000000181934,250.0,50.0
41,18:00,250.00000002096462,250.0,50.0
42,18:15,250.00000002096462,250.0,50.0
43,18:30,250.00000000740994,250.0,50.0
44,18:45,249.99999999999986,250.0,50.0
45,19:00,250.00000001819328,250.0,50.0
46,19:15,250.00000001819328,250.0,50.0
47,19:30,250.00000001819328,250.0,50.0
48,19:45,250.00000001819328,250.0,50.0
49,20:00,250.00000001819328,250.0,50.0
50,20:15,250.00000001819345,250.0,50.0
51,20:30,250.00000001819345,250.0,50.0
52,20:45,250.00000001819345,250.0,50.0
53,21:00,250.00000001819345,250.0,50.0
54,21:15,250.00000001819345,250.0,50.0
55,21:30,250.00000001819345,250.0,50.0
56,21:45,250.00000001819345,250.0,50.0
57,22:00,250.00000001819345,250.0,50.0
58,22:15,250.00000001819345,250.0,50.0
59,22:30,250.00000001819345,250.0,50.0
60,22:45,250.00000000000003,250.0,50.0
61,23:00,250.00000000000003,250.0,50.0
62,23:15,250.00000000000003,250.0,50.0
63,23:30,250.00000000000003,250.0,50.0
64,23:45,250.00000000000003,250.0,50.0
65,00:00,250.00000000000003,250.0,50.0
66,00:15,250.00000000000003,250.0,50.0
67,00:30,250.00000000000003,250.0,50.0
68,00:45,250.00000000000003,250.0,50.0
69,01:00,250.00000000000003,250.0,50.0
70,01:15,250.00000000000003,250.0,50.0
71,01:30,250.00000000000003,250.0,50.0
72,01:45,250.00000000000003,250.0,50.0
73,02:00,250.0,250.0,50.0
74,02:15,250.0,250.0,50.0
75,02:30,250.0,250.0,50.0
76,02:45,250.0,250.0,50.0
77,03:00,250.0,250.0,50.0
78,03:15,250.0,250.0,50.0
79,03:30,250.0,250.0,50.0
80,03:45,250.0,250.0,50.0
81,04:00,250.0,250.0,50.0
82,04:15,250.0,250.0,50.0
83,04:30,250.0,250.0,50.0
84,04:45,250.0,250.0,50.0
85,05:00,250.0,250.0,50.0
86,05:15,250.0,250.0,50.0
87,05:30,250.0,250.0,50.0
88,05:45,250.0,250.0,50.0
89,06:00,250.0,250.0,50.0
90,06:15,250.0,250.0,50.0
91,06:30,250.0,250.0,50.0
92,06:45,250.0,250.0,50.0
93,07:00,250.0,250.0,50.0
94,07:15,250.0,250.0,50.0
95,07:30,250.0,250.0,50.0
96,07:45,250.0,250.0,50.0
97,08:00,250.0,250.0,50.0
